gene,mean_expr_AKI,mean_expr_CKD,mean_expr_Normal
ARG2,0.1392671763896942,0.17411047220230103,0.9723920822143555
RHOA,1.040160059928894,1.0316929817199707,1.1491025686264038
ATP6V0E1,2.3222320079803467,2.6333329677581787,3.248164176940918
NDUFB2,3.112515926361084,3.0341198444366455,4.726400375366211
CALR,1.7599000930786133,1.6202141046524048,1.7988742589950562
MDH1,0.9239773154258728,0.8507419228553772,1.225594401359558
ALDOB,0.8327667713165283,1.6347839832305908,5.063631534576416
MCL1,0.23746278882026672,0.189726322889328,0.6871784329414368
SLC3A2,0.43128490447998047,0.3902018368244171,0.9833492636680603
ATP6V1B1,0.107026606798172,0.3685734272003174,1.1804014444351196
NDUFA8,0.43631511926651,0.4388616979122162,0.8798335790634155
ARL6IP4,1.020887851715088,0.9553200006484985,1.5221129655838013
SRGN,0.4219103455543518,0.23931235074996948,0.6053243279457092
PRDX5,2.3646678924560547,2.3025941848754883,3.5636849403381348
MYL6,6.456264972686768,5.146907806396484,7.235387802124023
CALM3,0.6824653744697571,0.6019026041030884,0.8067603707313538
UGT2B7,0.3591562509536743,0.5514854788780212,1.6511088609695435
WNK1,0.8798639178276062,1.4423818588256836,3.482870101928711
CA2,0.8984295725822449,1.2811843156814575,2.8245131969451904
TMEM66,0.12285672128200531,0.3383045792579651,0.8370125889778137
MAL,2.304396867752075,3.1104466915130615,4.016931533813477
CREM,0.16290682554244995,0.14847363531589508,0.6678345799446106
CYCS,1.340631127357483,1.1466847658157349,2.8727049827575684
ERP29,1.0541043281555176,1.0566948652267456,1.0971299409866333
COX7A1,0.6327153444290161,0.6596952080726624,1.6959283351898193
